Description	setSize	enrichmentScore	NES	pvalue
REACTOME_THE_NLRP3_INFLAMMASOME	16	0.7917152	2.1758811	0
ZHAN_VARIABLE_EARLY_DIFFERENTIATION_GENES_UP	15	0.68609995	2.0832567	0
REACTOME_INFLAMMASOMES	21	0.7166146	2.0589967	0
WATANABE_COLON_CANCER_MSI_VS_MSS_UP	26	0.7409094	2.0329173	0
GAL_LEUKEMIC_STEM_CELL_DN	213	0.5141093	1.9934719	0.002590674
REACTOME_PURINERGIC_SIGNALING_IN_LEISHMANIASIS_INFECTION	26	0.64307153	1.9771823	0
ELVIDGE_HIF1A_TARGETS_DN	87	0.555433	1.949962	0.002597403
PID_IL23_PATHWAY	34	0.65560585	1.9376945	0.004926108
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	64	0.67882437	1.9252517	0.012345679
WP_MICROGLIA_PATHOGEN_PHAGOCYTOSIS_PATHWAY	40	0.7070248	1.9205873	0.008733625
WEINMANN_ADAPTATION_TO_HYPOXIA_DN	37	0.5759491	1.9124308	0.010526316
WATANABE_COLON_CANCER_MSI_VS_MSS_DN	61	-0.6814229	-2.042901	0.001792115
NIKOLSKY_BREAST_CANCER_20Q12_Q13_AMPLICON	112	-0.6615852	-1.9044014	0.003546099
